no	name
1	여성의류
2	남성의류
3	신발
4	가방
5	시계/쥬얼리
6	패션액세서리
7	디지털/가전
8	스포츠/레저
9	차량/오토바이
10	스타굿즈
11	키덜트
12	예술/희귀/수집품
13	음반/악기
14	도서/티켓/문구
15	뷰티/미용
16	가구/인테리어
17	생활/가공식품
18	유아동/출산
19	반려동물용품
20	패딩/점퍼
21	코트
22	맨투맨
23	후드티/후드집업
24	티셔츠
25	블라우스
26	셔츠
27	바지
28	청바지
29	반바지
30	치마
31	원피스
32	가디건
33	니트/스웨터
34	자켓
35	정장
36	점프슈트	1
37	조끼/베스트
38	트레이닝
39	언더웨어/홈웨어
40	테마/이벤트
41	스니커즈
42	남성화
43	여성화
44	여성가방
45	남성가방
46	여행용
47	시계
48	쥬얼리
49	지갑
50	벨트
51	모자
52	목도리/장갑
53	스카프/넥타이
54	안경/선글라스
55	양말/스타킹
56	우산/양산
57	기타 액세서리
58	모바일
59	가전제품
60	오디오/영상/관련기기
61	PC/노트북
62	게임/타이틀
63	카메라/DSLR
64	PC부품/저장장치
65	골프
66	캠핑
67	낚시
68	축구
69	자전거
70	인라인/스케이트보드
71	전동킥보드/전동휠
72	테니스
73	등산/클라이밍
74	헬스/요가/필라테스
75	야구
76	볼링
77	배드민턴
78	탁구
79	농구
80	당구
81	겨울 스포츠
82	수상 스포츠
83	기타 구기 스포츠
84	국산차
85	수입차
86	차량 용품/부품
87	오토바이/스쿠터
88	오토바이 용품/부품
89	산업용 차량/장비
90	보이그룹
91	걸그룹
92	솔로(남)
93	솔로(여)
94	배우(남)
95	배우(여)
96	방송/예능/캐릭터
97	피규어/인형
98	레고/블록
99	프라모델
100	RC/드론
101	보드게임
102	서바이벌건
103	기타(키덜트)
104	희귀/수집품
105	골동품
106	예술작품
107	CD/DVD/LP
108	악기
109	도서
110	문구
111	기프티콘/쿠폰
112	상품권
113	티켓
114	스킨케어
115	색조메이크업
116	베이스메이크업
117	바디/헤어케어
118	향수/아로마
119	네일아트/케어
120	미용소품/기기
121	다이어트/이너뷰티
122	남성 화장품
123	인테리어
124	가구
125	주방용품
126	생활용품
127	식품
128	산업용품
129	베이비의류(0-2세)
130	여아의류(3-6세)
131	여주니어의류(7세~)
132	남아의류(3-6세)
133	남주니어의류(7세~)
134	유아동신발/잡화
135	교육/완구/인형
136	유아동용품
137	출산/임부용품
138	이유용품/유아식기
139	강아지 용품
140	강아지 사료/간식
141	기타(강아지)
142	고양이 용품
143	고양이 사료/간식
144	기타(고양이)
145	기타(반려동물 용품)
146	기타(반려동물 사료/간식)
147	롱패딩
148	숏패딩
149	블루종/항공점퍼
150	기타(패딩/점퍼)
151	겨울 코트
152	봄/가을 코트
153	긴팔 티셔츠
154	반팔 티셔츠
155	민소매 티셔츠
156	긴팔 블라우스
157	반팔 블라우스
158	민소매 블라우스
159	기타(블라우스)
160	솔리드(단색) 셔츠
161	스트라이프 셔츠
162	체크 셔츠
163	청/데님 셔츠
164	기타(셔츠)
165	면바지
166	슬랙스
167	조거팬츠
168	레깅스
169	기타(바지)
170	일자 청바지
171	스키니진
172	부츠컷 청바지
173	배기 청바지
174	기타(청바지)
175	면 반바지
176	밴딩 반바지
177	데님 반바지
178	기타(반바지)
179	롱 스커트
180	미디 스커트
181	미니 스커트
182	롱 원피스
183	미디 원피스
184	미니 원피스
185	가죽 자켓
186	데님 자켓
187	트위드 자켓
188	야싱자켓
189	바람막이
190	기타(자켓)
191	정장 자켓
192	정장 치마
193	정장 세트
194	기타(정장)
195	정장 베스트
196	정장 바지
197	니트 조끼
198	브이넥 조끼
199	청/데님 조끼
200	패딩 조끼
201	퍼 조끼
202	기타(조끼/베스트)
203	트레이닝 상의
204	트레이닝 하의
205	트레이닝 세트
206	기타(트레이닝)
207	샌들/슬리퍼
208	구두/로퍼
209	워커/부츠
210	기타(남성화)
211	구두
212	단화/플랫슈즈
213	기타(여성화)
214	클러치백
215	숄더백
216	크로스백
217	토트백
218	백팩
