no	user
1	68
2	54
3	79
4	21
5	79
6	62
7	7
8	34
9	70
10	26
11	50
12	82
13	7
14	63
15	74
16	38
17	59
18	82
19	74
20	52
21	32
22	68
23	47
24	68
25	46
26	72
27	15
28	74
29	7
30	35
31	55
32	80
33	69	
34	6	
35	32	
36	20	
37	62	
38	34	
39	63	
40	43	
41	17	
42	8	
43	65	
44	67	
45	69	
46	75	
47	30	
48	19	
49	66	
50	86	
51	66	
52	78	
53	72	
54	71	
55	2	
56	6	
57	33	
58	41	
59	65	
60	62	
61	24	
62	9	
63	31	
64	80	
65	20	
66	65	
67	4	
68	25	
69	34	
70	60	
71	23	
72	74	
73	39	
74	83	
75	28	
76	27	
77	69	
78	75	
79	46	
80	58	
81	23	
82	11	
83	5	
84	60	
85	8	
86	20	
87	62	
88	69	
89	53	
90	13	
91	39	
92	5	
93	52	
94	40	
95	52	
96	36	
97	62
98	50	
99	84	
100	85	
101	85	
102	11	
103	46	
