no	user	post	content	score
1	13	3	정말 좋은 물건 감사합니다ㅎㅎ	5
2	61	1	오배송 있어서 며칠 늦었지만 상품을 받아보고 완전 만족합니다!!! 다시 재구매 의사 있고 옷 엄청 깔끔하네요 그냥 새 옷인줄 알겠어요 사장님 인품도 굿입니다!	3
3	25	5	여행중이라 구매확정이 늦어졌네요.. 가방상태 굳이고요~ 언제나 믿음이 가는 상점이랍니다~^^	5
4	69	7	완전 새시계네요 깨끗하고 예쁩니다 판매자분은 친절하시구요^^	5
5	43	10	답변도, 택배도 빠르고 친절 매너 최고입니다. 많이들 거래하세요. 절대 최강 추천 함다	1
6	65	20	번개장터 7년하면서 최고중에 베스트 최고상점입니다~!! 신뢰,믿은,서비스, 삼박자가 완벽한상점!!👍👍👍👍 한번 구매해보시면 아실껍니다 최고상점입니다❤️	2
7	80	50	잘 받았습니다-!	3
8	5	74	상태도 깔끔하고 가격도 적당하게 잘 산것 같네요 번창하세요~	2
9	47	10	친구 생일성물로 주문한건데 8년간 줬던 어떤 것보다 제일 좋아하네요ㅎㅅㅎ 다음번엔 제걸로 또 주문할게요! 감사합니다♥️	2
10	56	90	배송도 넘 빠르고 친절하세요 좋은가격에 사서 기분이 넘 좋습니다 담에 또 이용할게요	2
